fish_100 9828 444960203 28.20 21.82 21.79 28.19
fish_101 7840 1042981762 31.56 18.43 18.46 31.55
fish_102 12779 495084851 28.74 21.26 21.26 28.73
fish_103 49496 887764969 29.32 20.68 20.69 29.31
fish_104 7304 539967817 29.63 20.37 20.38 29.62
fish_105 2963 519915408 28.95 21.06 21.09 28.91
fish_106 4291 607319092 31.04 19.00 19.03 30.94
fish_107 80503876 2966890203 28.47 21.52 21.58 28.43
fish_107 80503876 2966890203 28.47 21.52 21.58 28.43
fish_108 20010643 470199494 29.58 20.41 20.40 29.60
fish_108 20010643 470199494 29.58 20.41 20.40 29.60
fish_109 54093808 1412464843 31.65 18.36 18.35 31.64
fish_10 5266 437480619 28.24 21.78 21.78 28.21
fish_110 27195745 904452945 28.95 21.03 21.05 28.96
fish_110 27195745 904452945 28.95 21.03 21.05 28.96
fish_111 50348508 945878036 30.21 19.79 19.80 30.20
fish_111 50348508 945878036 30.21 19.79 19.80 30.20
fish_112 29908082 869000216 29.74 20.20 20.21 29.73
fish_112 29908082 869000216 29.74 20.20 20.21 29.73
fish_113 858115 393312790 27.26 22.73 22.73 27.28
fish_113 858115 393312790 27.26 22.73 22.73 27.28
fish_114 1216136 844902565 29.59 20.36 20.35 29.62
fish_115 18115788 461533448 27.69 22.29 22.30 27.71
fish_115 18115788 461533448 27.69 22.29 22.30 27.71
fish_116 1994 547831023 29.08 20.97 20.99 28.96
fish_116 1994 547831023 29.08 20.97 20.99 28.96
fish_117 13390619 358618246 26.81 23.20 23.19 26.80
fish_117 13390619 358618246 26.81 23.20 23.19 26.80
fish_118 8235 684497465 30.15 19.84 19.86 30.15
fish_118 8235 684497465 30.15 19.84 19.86 30.15
fish_119 315240 378032400 27.35 22.56 22.58 27.34
fish_11 4892 397499185 28.16 21.85 21.88 28.10
fish_120 59657 1018701900 28.54 21.42 21.41 28.48
fish_121 52849 1151137423 28.37 21.63 21.59 28.19
fish_122 1194190 831411547 29.76 20.24 20.27 29.73
fish_123 1775308 1191242572 31.07 18.94 18.93 31.05
fish_124 2375582 955735039 30.25 19.75 19.74 30.26
fish_125 835301 1035167975 30.92 19.08 19.11 30.88
