fish_94	Gadiformes	Trachyrincus murrayi	Murray´s longsnout grenadier
fish_95	Gadiformes	Phycis blennoides	Greater forkbeard
fish_96	Perciformes	Lesueurigobius cf. sanzoi	Sanzo's goby
fish_97	Gadiformes	Gadus morhua	Atlantic cod
fish_98	Perciformes	Caranx ignobilis	Giant trevally
fish_99	Perciformes	Caranx melampygus	Bluefin trevally
fish_100	Clupeiformes	Clupea harengus	Atlantic herring
fish_101	Cypriniformes	Cyprinus carpio	Common carp
fish_102	Gymnotiformes	Electrophorus electricus	Electric eel
fish_103	Perciformes	Epinephelus aeneus	White grouper
fish_104	Synbranchiformes	Monopterus albus	Swamp eel
fish_105	Salmoniformes	Oncorhynchus tshawytscha	Chinook salmon
fish_106	Cypriniformes	Pimephales promelas	Fathead minnow
fish_107	Salmoniformes	Salmo salar	Atlantic salmon
fish_108	Pleuronectiformes	Cynoglossus semilaevis	Tongue sole
fish_109	Cypriniformes	Danio rerio	Zebrafish
fish_110	Esociformes	Esox lucius	Northern pike
fish_111	Lepisosteiformes	Lepisosteus oculatus	Spotted gar
fish_112	Beloniformes	Oryzias latipes	Medaka
fish_113	Tetraodontiformes	Takifugu rubripes	Japanese puffer
fish_114	Perciformes	Amphilophus citrinellus	Midas cichlid
fish_115	Gasterosteiformes	Gasterosteus aculeatus	Three-spined stickleback
fish_116	Pleuronectiformes	Pseudopleuronectes yokohamae	Marbled flounder
fish_117	Tetraodontiformes	Tetraodon nigroviridis	Green spotted puffer
fish_118	Perciformes	Thunnus orientalis	Pacific bluefin tuna
fish_119	Tetraodontiformes	Takifugu flavidus	Yellowbelly pufferfish
fish_120	Anguilliformes	Anguilla anguilla	European eel 
fish_121	Anguilliformes	Anguilla japonica	Japanese eel 
fish_122	Perciformes	Astatotilapia burtoni	Astatotilapia burtoni
fish_123	Characiformes	Astyanax mexicanus	Blind cave fish
fish_124	Perciformes	Boleophthalmus pectinirostris	Great blue spotted mudskipper
fish_125	Cyprinodontiformes	Cyprinodon variegatus	Sheepshead minnow
fish_126	Cyprinodontiformes	Cyprinodon nevadensis	Amargosa pupfish
fish_127	Perciformes	Dicentrarchus labrax	European seabass
fish_128	Perciformes	Larimichthys crocea	Croceine croaker
fish_129	Perciformes	Maylandia zebra	Zebra mbuna
fish_130	Perciformes	Neolamprologus brichardi	Princess cichlid
fish_131	Perciformes	Notothenia coriiceps	Black rockcod
fish_132	Perciformes	Oreochromis niloticus	Nile tilapia 
fish_133	Perciformes	Periophthalmodon schlosseri	Giant mudskipper
fish_134	Perciformes	Periophthalmus magnuspinnatus	Periophthalmus magnuspinnatus
fish_135	Cyprinodontiformes	Poecilia formosa	Amazon molly
fish_136	Cyprinodontiformes	Poecilia reticulata	Guppy
fish_137	Perciformes	Pundamilia nyererei	Pundamilia nyererei
fish_138	Perciformes	Scartelaos histophorus	Walking goby
fish_139	Scorpaeniformes	Sebastes nigrocinctus	Tiger rockfish
fish_140	Perciformes	Stegastes partitus	Bicolor damselfish
fish_141	Cyprinodontiformes	Xiphophorus maculatus	Southern platyfish
fish_142	Osteoglossiformes	Scleropages formosus	Asian arowana
fish_143	Cyprinodontiformes	Fundulus heteroclitus	Mummichog
fish_144	Syngnathiformes	Syngnathus typhle	Broadnosed pipefish 
fish_145	Salmoniformes	Thymallus thymallus	Grayling
fish_146	Gasterosteiformes	Pungitius pungitius	Ninespine stickleback
fish_147	Salmoniformes	Oncorhynchus mykiss	Rainbow trout
fish_148	Perciformes	Labrus bergylta	Ballan wrasse
